soru,cevap,context
anayasa türk vatanı milletinin ebedi varlığını güvence altına almayı amaçlıyor,anayasa türk vatanı milletinin ebedi varlığını sürekliliğini geleceğini güvence altına almayı amaçlıyor bunun ülkenin bölünmez bütünlüğünü koruyarak yönetim sistemini belirleyerek ülkenin halkının geleceğini güvence altına almayı hedefliyor,başlangiç 5 türk vatanı milletinin ebedi varlığını yüce türk devletinin bölünmez bütünlüğünü belirleyen anayasa türkiye cumhuriyetinin kurucusu ölümsüz önder eşsiz kahraman atatürk ün belirlediği milliyetçilik anlayışı onun inkılap ilkeleri doğrultusunda dünya milletleri ailesinin eşit haklara sahip şerefli bir üyesi olarak türkiye cumhuriyetinin ebedi varlığı refahı maddi manevi mutluluğu çağdaş medeniyet düzeyine ulaşma azmi yönünde millet iradesinin mutlak üstünlüğü egemenliğin kayıtsız şartsız türk milletine ait olduğu bunu millet adına kullanmaya yetkili kılınan hiçbir kişi kuruluşun anayasada gösterilen hürriyetçi demokrasi bunun icaplarıyla belirlenmiş hukuk düzeni dışına çıkamayacağı kuvvetler ayrımının devlet organları arasında üstünlük sıralaması anlamına gelmeyip belli devlet yetki görevlerinin kullanılmasından ibaret bununla sınırlı medeni bir işbölümü işbirliği olduğu üstünlüğün ancak anayasa kanunlarda bulunduğu hiçbir faaliyetin türk milli menfaatlerinin türk varlığının devleti ülkesiyle bölünmezliği esasının türklüğün tarihi manevi değerlerinin atatürk milliyetçiliği ilke inkılapları medeniyetçiliğinin karşısında korunma göremeyeceği laiklik ilkesinin gereği olarak kutsal din duygularının devlet işlerine politikaya kesinlikle karıştırılamayacağı 6 türk vatandaşının anayasadaki temel hak hürriyetlerden eşitlik sosyal adalet gereklerince yararlanarak milli kültür medeniyet hukuk düzeni içinde onurlu bir hayat sürdürme maddi manevi varlığını yönde geliştirme hak yetkisine doğuştan sahip olduğu topluca türk vatandaşlarının milli gurur iftiharlarda milli sevinç kederlerde milli varlığa karşı hak ödevlerde nimet külfetlerde millet hayatının türlü tecellisinde ortak olduğu birbirinin hak hürriyetlerine kesin saygı karşılıklı içten sevgi kardeşlik duygularıyla yurtta sulh cihanda sulh arzu inancı içinde huzurlu bir hayat talebine hakları bulunduğu karariyla anlaşılmak sözüne ruhuna yönde saygı mutlak sadakatle yorumlanıp uygulanmak üzere türk tarafindan demokrasiye aşık türk evlatlarının vatan millet sevgisine emanet tevdi olunur
anayasa türkiye cumhuriyetinin hangi milliyetçilik anlayışını temel alıyor,anayasa türkiye cumhuriyetinin kurucusu olan belirlediği milliyetçilik anlayışını temel alıyor anlayış türk varlığının kültürünün korunması milli birlik beraberliğin sağlanması temel değerlere dayanıyor,başlangiç 5 türk vatanı milletinin ebedi varlığını yüce türk devletinin bölünmez bütünlüğünü belirleyen anayasa türkiye cumhuriyetinin kurucusu ölümsüz önder eşsiz kahraman atatürk ün belirlediği milliyetçilik anlayışı onun inkılap ilkeleri doğrultusunda dünya milletleri ailesinin eşit haklara sahip şerefli bir üyesi olarak türkiye cumhuriyetinin ebedi varlığı refahı maddi manevi mutluluğu çağdaş medeniyet düzeyine ulaşma azmi yönünde millet iradesinin mutlak üstünlüğü egemenliğin kayıtsız şartsız türk milletine ait olduğu bunu millet adına kullanmaya yetkili kılınan hiçbir kişi kuruluşun anayasada gösterilen hürriyetçi demokrasi bunun icaplarıyla belirlenmiş hukuk düzeni dışına çıkamayacağı kuvvetler ayrımının devlet organları arasında üstünlük sıralaması anlamına gelmeyip belli devlet yetki görevlerinin kullanılmasından ibaret bununla sınırlı medeni bir işbölümü işbirliği olduğu üstünlüğün ancak anayasa kanunlarda bulunduğu hiçbir faaliyetin türk milli menfaatlerinin türk varlığının devleti ülkesiyle bölünmezliği esasının türklüğün tarihi manevi değerlerinin atatürk milliyetçiliği ilke inkılapları medeniyetçiliğinin karşısında korunma göremeyeceği laiklik ilkesinin gereği olarak kutsal din duygularının devlet işlerine politikaya kesinlikle karıştırılamayacağı 6 türk vatandaşının anayasadaki temel hak hürriyetlerden eşitlik sosyal adalet gereklerince yararlanarak milli kültür medeniyet hukuk düzeni içinde onurlu bir hayat sürdürme maddi manevi varlığını yönde geliştirme hak yetkisine doğuştan sahip olduğu topluca türk vatandaşlarının milli gurur iftiharlarda milli sevinç kederlerde milli varlığa karşı hak ödevlerde nimet külfetlerde millet hayatının türlü tecellisinde ortak olduğu birbirinin hak hürriyetlerine kesin saygı karşılıklı içten sevgi kardeşlik duygularıyla yurtta sulh cihanda sulh arzu inancı içinde huzurlu bir hayat talebine hakları bulunduğu karariyla anlaşılmak sözüne ruhuna yönde saygı mutlak sadakatle yorumlanıp uygulanmak üzere türk tarafindan demokrasiye aşık türk evlatlarının vatan millet sevgisine emanet tevdi olunur
anayasa türkiye cumhuriyetini hangi konumda tanımlıyor,anayasa türkiye cumhuriyetini dünya milletleri ailesinin eşit haklara sahip şerefli bir üyesi olarak tanımlıyor uluslararası arenada eşitlikçi saygılı bir konumda olduğunu vurguluyor,başlangiç 5 türk vatanı milletinin ebedi varlığını yüce türk devletinin bölünmez bütünlüğünü belirleyen anayasa türkiye cumhuriyetinin kurucusu ölümsüz önder eşsiz kahraman atatürk ün belirlediği milliyetçilik anlayışı onun inkılap ilkeleri doğrultusunda dünya milletleri ailesinin eşit haklara sahip şerefli bir üyesi olarak türkiye cumhuriyetinin ebedi varlığı refahı maddi manevi mutluluğu çağdaş medeniyet düzeyine ulaşma azmi yönünde millet iradesinin mutlak üstünlüğü egemenliğin kayıtsız şartsız türk milletine ait olduğu bunu millet adına kullanmaya yetkili kılınan hiçbir kişi kuruluşun anayasada gösterilen hürriyetçi demokrasi bunun icaplarıyla belirlenmiş hukuk düzeni dışına çıkamayacağı kuvvetler ayrımının devlet organları arasında üstünlük sıralaması anlamına gelmeyip belli devlet yetki görevlerinin kullanılmasından ibaret bununla sınırlı medeni bir işbölümü işbirliği olduğu üstünlüğün ancak anayasa kanunlarda bulunduğu hiçbir faaliyetin türk milli menfaatlerinin türk varlığının devleti ülkesiyle bölünmezliği esasının türklüğün tarihi manevi değerlerinin atatürk milliyetçiliği ilke inkılapları medeniyetçiliğinin karşısında korunma göremeyeceği laiklik ilkesinin gereği olarak kutsal din duygularının devlet işlerine politikaya kesinlikle karıştırılamayacağı 6 türk vatandaşının anayasadaki temel hak hürriyetlerden eşitlik sosyal adalet gereklerince yararlanarak milli kültür medeniyet hukuk düzeni içinde onurlu bir hayat sürdürme maddi manevi varlığını yönde geliştirme hak yetkisine doğuştan sahip olduğu topluca türk vatandaşlarının milli gurur iftiharlarda milli sevinç kederlerde milli varlığa karşı hak ödevlerde nimet külfetlerde millet hayatının türlü tecellisinde ortak olduğu birbirinin hak hürriyetlerine kesin saygı karşılıklı içten sevgi kardeşlik duygularıyla yurtta sulh cihanda sulh arzu inancı içinde huzurlu bir hayat talebine hakları bulunduğu karariyla anlaşılmak sözüne ruhuna yönde saygı mutlak sadakatle yorumlanıp uygulanmak üzere türk tarafindan demokrasiye aşık türk evlatlarının vatan millet sevgisine emanet tevdi olunur
anayasa türkiye cumhuriyetinin hangi hedeflere ulaşmasını amaçlıyor,anayasa türkiye cumhuriyetinin ebedi varlığını refahını maddi manevi mutluluğunu çağdaş medeniyet düzeyine ulaşma azmini hedefliyor ülkenin sürekliliğini sağlamak halkının refahını artırmak mutluluklarını sağlamak modern dünyaya entegre olmasını amaçlıyor,başlangiç 5 türk vatanı milletinin ebedi varlığını yüce türk devletinin bölünmez bütünlüğünü belirleyen anayasa türkiye cumhuriyetinin kurucusu ölümsüz önder eşsiz kahraman atatürk ün belirlediği milliyetçilik anlayışı onun inkılap ilkeleri doğrultusunda dünya milletleri ailesinin eşit haklara sahip şerefli bir üyesi olarak türkiye cumhuriyetinin ebedi varlığı refahı maddi manevi mutluluğu çağdaş medeniyet düzeyine ulaşma azmi yönünde millet iradesinin mutlak üstünlüğü egemenliğin kayıtsız şartsız türk milletine ait olduğu bunu millet adına kullanmaya yetkili kılınan hiçbir kişi kuruluşun anayasada gösterilen hürriyetçi demokrasi bunun icaplarıyla belirlenmiş hukuk düzeni dışına çıkamayacağı kuvvetler ayrımının devlet organları arasında üstünlük sıralaması anlamına gelmeyip belli devlet yetki görevlerinin kullanılmasından ibaret bununla sınırlı medeni bir işbölümü işbirliği olduğu üstünlüğün ancak anayasa kanunlarda bulunduğu hiçbir faaliyetin türk milli menfaatlerinin türk varlığının devleti ülkesiyle bölünmezliği esasının türklüğün tarihi manevi değerlerinin atatürk milliyetçiliği ilke inkılapları medeniyetçiliğinin karşısında korunma göremeyeceği laiklik ilkesinin gereği olarak kutsal din duygularının devlet işlerine politikaya kesinlikle karıştırılamayacağı 6 türk vatandaşının anayasadaki temel hak hürriyetlerden eşitlik sosyal adalet gereklerince yararlanarak milli kültür medeniyet hukuk düzeni içinde onurlu bir hayat sürdürme maddi manevi varlığını yönde geliştirme hak yetkisine doğuştan sahip olduğu topluca türk vatandaşlarının milli gurur iftiharlarda milli sevinç kederlerde milli varlığa karşı hak ödevlerde nimet külfetlerde millet hayatının türlü tecellisinde ortak olduğu birbirinin hak hürriyetlerine kesin saygı karşılıklı içten sevgi kardeşlik duygularıyla yurtta sulh cihanda sulh arzu inancı içinde huzurlu bir hayat talebine hakları bulunduğu karariyla anlaşılmak sözüne ruhuna yönde saygı mutlak sadakatle yorumlanıp uygulanmak üzere türk tarafindan demokrasiye aşık türk evlatlarının vatan millet sevgisine emanet tevdi olunur
anayasa egemenliğin kime ait olduğunu belirtiyor,anayasa egemenliğin kayıtsız şartsız türk milletine ait olduğunu belirtiyor hiçbir kişi kuruluşun halkın iradesi dışında yönetim yetkisini kullanamayacağı anlamına geliyor,başlangiç 5 türk vatanı milletinin ebedi varlığını yüce türk devletinin bölünmez bütünlüğünü belirleyen anayasa türkiye cumhuriyetinin kurucusu ölümsüz önder eşsiz kahraman atatürk ün belirlediği milliyetçilik anlayışı onun inkılap ilkeleri doğrultusunda dünya milletleri ailesinin eşit haklara sahip şerefli bir üyesi olarak türkiye cumhuriyetinin ebedi varlığı refahı maddi manevi mutluluğu çağdaş medeniyet düzeyine ulaşma azmi yönünde millet iradesinin mutlak üstünlüğü egemenliğin kayıtsız şartsız türk milletine ait olduğu bunu millet adına kullanmaya yetkili kılınan hiçbir kişi kuruluşun anayasada gösterilen hürriyetçi demokrasi bunun icaplarıyla belirlenmiş hukuk düzeni dışına çıkamayacağı kuvvetler ayrımının devlet organları arasında üstünlük sıralaması anlamına gelmeyip belli devlet yetki görevlerinin kullanılmasından ibaret bununla sınırlı medeni bir işbölümü işbirliği olduğu üstünlüğün ancak anayasa kanunlarda bulunduğu hiçbir faaliyetin türk milli menfaatlerinin türk varlığının devleti ülkesiyle bölünmezliği esasının türklüğün tarihi manevi değerlerinin atatürk milliyetçiliği ilke inkılapları medeniyetçiliğinin karşısında korunma göremeyeceği laiklik ilkesinin gereği olarak kutsal din duygularının devlet işlerine politikaya kesinlikle karıştırılamayacağı 6 türk vatandaşının anayasadaki temel hak hürriyetlerden eşitlik sosyal adalet gereklerince yararlanarak milli kültür medeniyet hukuk düzeni içinde onurlu bir hayat sürdürme maddi manevi varlığını yönde geliştirme hak yetkisine doğuştan sahip olduğu topluca türk vatandaşlarının milli gurur iftiharlarda milli sevinç kederlerde milli varlığa karşı hak ödevlerde nimet külfetlerde millet hayatının türlü tecellisinde ortak olduğu birbirinin hak hürriyetlerine kesin saygı karşılıklı içten sevgi kardeşlik duygularıyla yurtta sulh cihanda sulh arzu inancı içinde huzurlu bir hayat talebine hakları bulunduğu karariyla anlaşılmak sözüne ruhuna yönde saygı mutlak sadakatle yorumlanıp uygulanmak üzere türk tarafindan demokrasiye aşık türk evlatlarının vatan millet sevgisine emanet tevdi olunur
anayasa millet iradesinin kullanılacağını düzenliyor,anayasa millet iradesinin hürriyetçi demokrasi hukuk düzeni çerçevesinde kullanılacağını belirtiyor halkın iradesi özgürlükçü bir ortamda yasalar çerçevesinde şeffaf hesap verebilir bir şekilde kullanılmalıdır,başlangiç 5 türk vatanı milletinin ebedi varlığını yüce türk devletinin bölünmez bütünlüğünü belirleyen anayasa türkiye cumhuriyetinin kurucusu ölümsüz önder eşsiz kahraman atatürk ün belirlediği milliyetçilik anlayışı onun inkılap ilkeleri doğrultusunda dünya milletleri ailesinin eşit haklara sahip şerefli bir üyesi olarak türkiye cumhuriyetinin ebedi varlığı refahı maddi manevi mutluluğu çağdaş medeniyet düzeyine ulaşma azmi yönünde millet iradesinin mutlak üstünlüğü egemenliğin kayıtsız şartsız türk milletine ait olduğu bunu millet adına kullanmaya yetkili kılınan hiçbir kişi kuruluşun anayasada gösterilen hürriyetçi demokrasi bunun icaplarıyla belirlenmiş hukuk düzeni dışına çıkamayacağı kuvvetler ayrımının devlet organları arasında üstünlük sıralaması anlamına gelmeyip belli devlet yetki görevlerinin kullanılmasından ibaret bununla sınırlı medeni bir işbölümü işbirliği olduğu üstünlüğün ancak anayasa kanunlarda bulunduğu hiçbir faaliyetin türk milli menfaatlerinin türk varlığının devleti ülkesiyle bölünmezliği esasının türklüğün tarihi manevi değerlerinin atatürk milliyetçiliği ilke inkılapları medeniyetçiliğinin karşısında korunma göremeyeceği laiklik ilkesinin gereği olarak kutsal din duygularının devlet işlerine politikaya kesinlikle karıştırılamayacağı 6 türk vatandaşının anayasadaki temel hak hürriyetlerden eşitlik sosyal adalet gereklerince yararlanarak milli kültür medeniyet hukuk düzeni içinde onurlu bir hayat sürdürme maddi manevi varlığını yönde geliştirme hak yetkisine doğuştan sahip olduğu topluca türk vatandaşlarının milli gurur iftiharlarda milli sevinç kederlerde milli varlığa karşı hak ödevlerde nimet külfetlerde millet hayatının türlü tecellisinde ortak olduğu birbirinin hak hürriyetlerine kesin saygı karşılıklı içten sevgi kardeşlik duygularıyla yurtta sulh cihanda sulh arzu inancı içinde huzurlu bir hayat talebine hakları bulunduğu karariyla anlaşılmak sözüne ruhuna yönde saygı mutlak sadakatle yorumlanıp uygulanmak üzere türk tarafindan demokrasiye aşık türk evlatlarının vatan millet sevgisine emanet tevdi olunur
kuvvetler ayrılığı ilkesi tanımlanıyor,anayasa kuvvetler ayrılığı ilkesini devlet organları arasında üstünlük sıralaması anlamına gelmeyen sadece görev bölümü iş birliği olarak tanımlıyor organ kendi görevini yapar diğerleriyle iş birliği yaparak dengeli bir yönetim sistemi oluşturur,başlangiç 5 türk vatanı milletinin ebedi varlığını yüce türk devletinin bölünmez bütünlüğünü belirleyen anayasa türkiye cumhuriyetinin kurucusu ölümsüz önder eşsiz kahraman atatürk ün belirlediği milliyetçilik anlayışı onun inkılap ilkeleri doğrultusunda dünya milletleri ailesinin eşit haklara sahip şerefli bir üyesi olarak türkiye cumhuriyetinin ebedi varlığı refahı maddi manevi mutluluğu çağdaş medeniyet düzeyine ulaşma azmi yönünde millet iradesinin mutlak üstünlüğü egemenliğin kayıtsız şartsız türk milletine ait olduğu bunu millet adına kullanmaya yetkili kılınan hiçbir kişi kuruluşun anayasada gösterilen hürriyetçi demokrasi bunun icaplarıyla belirlenmiş hukuk düzeni dışına çıkamayacağı kuvvetler ayrımının devlet organları arasında üstünlük sıralaması anlamına gelmeyip belli devlet yetki görevlerinin kullanılmasından ibaret bununla sınırlı medeni bir işbölümü işbirliği olduğu üstünlüğün ancak anayasa kanunlarda bulunduğu hiçbir faaliyetin türk milli menfaatlerinin türk varlığının devleti ülkesiyle bölünmezliği esasının türklüğün tarihi manevi değerlerinin atatürk milliyetçiliği ilke inkılapları medeniyetçiliğinin karşısında korunma göremeyeceği laiklik ilkesinin gereği olarak kutsal din duygularının devlet işlerine politikaya kesinlikle karıştırılamayacağı 6 türk vatandaşının anayasadaki temel hak hürriyetlerden eşitlik sosyal adalet gereklerince yararlanarak milli kültür medeniyet hukuk düzeni içinde onurlu bir hayat sürdürme maddi manevi varlığını yönde geliştirme hak yetkisine doğuştan sahip olduğu topluca türk vatandaşlarının milli gurur iftiharlarda milli sevinç kederlerde milli varlığa karşı hak ödevlerde nimet külfetlerde millet hayatının türlü tecellisinde ortak olduğu birbirinin hak hürriyetlerine kesin saygı karşılıklı içten sevgi kardeşlik duygularıyla yurtta sulh cihanda sulh arzu inancı içinde huzurlu bir hayat talebine hakları bulunduğu karariyla anlaşılmak sözüne ruhuna yönde saygı mutlak sadakatle yorumlanıp uygulanmak üzere türk tarafindan demokrasiye aşık türk evlatlarının vatan millet sevgisine emanet tevdi olunur
anayasa ülkenin üst yetkisinin olduğunu belirtiyor,anayasa ülkenin üst yetkisinin sadece anayasa kanunlarda bulunduğunu belirtiyor hiçbir kişi kuruluş anayasa kanunların üzerinde bir yetkiye sahip değildir,başlangiç 5 türk vatanı milletinin ebedi varlığını yüce türk devletinin bölünmez bütünlüğünü belirleyen anayasa türkiye cumhuriyetinin kurucusu ölümsüz önder eşsiz kahraman atatürk ün belirlediği milliyetçilik anlayışı onun inkılap ilkeleri doğrultusunda dünya milletleri ailesinin eşit haklara sahip şerefli bir üyesi olarak türkiye cumhuriyetinin ebedi varlığı refahı maddi manevi mutluluğu çağdaş medeniyet düzeyine ulaşma azmi yönünde millet iradesinin mutlak üstünlüğü egemenliğin kayıtsız şartsız türk milletine ait olduğu bunu millet adına kullanmaya yetkili kılınan hiçbir kişi kuruluşun anayasada gösterilen hürriyetçi demokrasi bunun icaplarıyla belirlenmiş hukuk düzeni dışına çıkamayacağı kuvvetler ayrımının devlet organları arasında üstünlük sıralaması anlamına gelmeyip belli devlet yetki görevlerinin kullanılmasından ibaret bununla sınırlı medeni bir işbölümü işbirliği olduğu üstünlüğün ancak anayasa kanunlarda bulunduğu hiçbir faaliyetin türk milli menfaatlerinin türk varlığının devleti ülkesiyle bölünmezliği esasının türklüğün tarihi manevi değerlerinin atatürk milliyetçiliği ilke inkılapları medeniyetçiliğinin karşısında korunma göremeyeceği laiklik ilkesinin gereği olarak kutsal din duygularının devlet işlerine politikaya kesinlikle karıştırılamayacağı 6 türk vatandaşının anayasadaki temel hak hürriyetlerden eşitlik sosyal adalet gereklerince yararlanarak milli kültür medeniyet hukuk düzeni içinde onurlu bir hayat sürdürme maddi manevi varlığını yönde geliştirme hak yetkisine doğuştan sahip olduğu topluca türk vatandaşlarının milli gurur iftiharlarda milli sevinç kederlerde milli varlığa karşı hak ödevlerde nimet külfetlerde millet hayatının türlü tecellisinde ortak olduğu birbirinin hak hürriyetlerine kesin saygı karşılıklı içten sevgi kardeşlik duygularıyla yurtta sulh cihanda sulh arzu inancı içinde huzurlu bir hayat talebine hakları bulunduğu karariyla anlaşılmak sözüne ruhuna yönde saygı mutlak sadakatle yorumlanıp uygulanmak üzere türk tarafindan demokrasiye aşık türk evlatlarının vatan millet sevgisine emanet tevdi olunur
anayasa hangi milli değerlerin korunmasını amaçlıyor,anayasa türk milli menfaatlerini türk varlığını devleti ülkesiyle bölünmezliği türklüğün tarihi manevi değerlerini atatürk milliyetçiliği ilke inkılapları medeniyetçiliğini korumayı amaçlıyor ülkenin milli kimliğini kültürel mirasını değerlerini korumayı hedefliyor,başlangiç 5 türk vatanı milletinin ebedi varlığını yüce türk devletinin bölünmez bütünlüğünü belirleyen anayasa türkiye cumhuriyetinin kurucusu ölümsüz önder eşsiz kahraman atatürk ün belirlediği milliyetçilik anlayışı onun inkılap ilkeleri doğrultusunda dünya milletleri ailesinin eşit haklara sahip şerefli bir üyesi olarak türkiye cumhuriyetinin ebedi varlığı refahı maddi manevi mutluluğu çağdaş medeniyet düzeyine ulaşma azmi yönünde millet iradesinin mutlak üstünlüğü egemenliğin kayıtsız şartsız türk milletine ait olduğu bunu millet adına kullanmaya yetkili kılınan hiçbir kişi kuruluşun anayasada gösterilen hürriyetçi demokrasi bunun icaplarıyla belirlenmiş hukuk düzeni dışına çıkamayacağı kuvvetler ayrımının devlet organları arasında üstünlük sıralaması anlamına gelmeyip belli devlet yetki görevlerinin kullanılmasından ibaret bununla sınırlı medeni bir işbölümü işbirliği olduğu üstünlüğün ancak anayasa kanunlarda bulunduğu hiçbir faaliyetin türk milli menfaatlerinin türk varlığının devleti ülkesiyle bölünmezliği esasının türklüğün tarihi manevi değerlerinin atatürk milliyetçiliği ilke inkılapları medeniyetçiliğinin karşısında korunma göremeyeceği laiklik ilkesinin gereği olarak kutsal din duygularının devlet işlerine politikaya kesinlikle karıştırılamayacağı 6 türk vatandaşının anayasadaki temel hak hürriyetlerden eşitlik sosyal adalet gereklerince yararlanarak milli kültür medeniyet hukuk düzeni içinde onurlu bir hayat sürdürme maddi manevi varlığını yönde geliştirme hak yetkisine doğuştan sahip olduğu topluca türk vatandaşlarının milli gurur iftiharlarda milli sevinç kederlerde milli varlığa karşı hak ödevlerde nimet külfetlerde millet hayatının türlü tecellisinde ortak olduğu birbirinin hak hürriyetlerine kesin saygı karşılıklı içten sevgi kardeşlik duygularıyla yurtta sulh cihanda sulh arzu inancı içinde huzurlu bir hayat talebine hakları bulunduğu karariyla anlaşılmak sözüne ruhuna yönde saygı mutlak sadakatle yorumlanıp uygulanmak üzere türk tarafindan demokrasiye aşık türk evlatlarının vatan millet sevgisine emanet tevdi olunur
laiklik ilkesinin önemi nedir,anayasa laiklik ilkesini belirterek hiçbir faaliyetin din duygularını devlet işlerine politikaya karıştırmasına izin vermez din devlet işlerinin ayrılmasını herkesin vicdan özgürlüğüne sahip olmasını sağlamak önemlidir,başlangiç 5 türk vatanı milletinin ebedi varlığını yüce türk devletinin bölünmez bütünlüğünü belirleyen anayasa türkiye cumhuriyetinin kurucusu ölümsüz önder eşsiz kahraman atatürk ün belirlediği milliyetçilik anlayışı onun inkılap ilkeleri doğrultusunda dünya milletleri ailesinin eşit haklara sahip şerefli bir üyesi olarak türkiye cumhuriyetinin ebedi varlığı refahı maddi manevi mutluluğu çağdaş medeniyet düzeyine ulaşma azmi yönünde millet iradesinin mutlak üstünlüğü egemenliğin kayıtsız şartsız türk milletine ait olduğu bunu millet adına kullanmaya yetkili kılınan hiçbir kişi kuruluşun anayasada gösterilen hürriyetçi demokrasi bunun icaplarıyla belirlenmiş hukuk düzeni dışına çıkamayacağı kuvvetler ayrımının devlet organları arasında üstünlük sıralaması anlamına gelmeyip belli devlet yetki görevlerinin kullanılmasından ibaret bununla sınırlı medeni bir işbölümü işbirliği olduğu üstünlüğün ancak anayasa kanunlarda bulunduğu hiçbir faaliyetin türk milli menfaatlerinin türk varlığının devleti ülkesiyle bölünmezliği esasının türklüğün tarihi manevi değerlerinin atatürk milliyetçiliği ilke inkılapları medeniyetçiliğinin karşısında korunma göremeyeceği laiklik ilkesinin gereği olarak kutsal din duygularının devlet işlerine politikaya kesinlikle karıştırılamayacağı 6 türk vatandaşının anayasadaki temel hak hürriyetlerden eşitlik sosyal adalet gereklerince yararlanarak milli kültür medeniyet hukuk düzeni içinde onurlu bir hayat sürdürme maddi manevi varlığını yönde geliştirme hak yetkisine doğuştan sahip olduğu topluca türk vatandaşlarının milli gurur iftiharlarda milli sevinç kederlerde milli varlığa karşı hak ödevlerde nimet külfetlerde millet hayatının türlü tecellisinde ortak olduğu birbirinin hak hürriyetlerine kesin saygı karşılıklı içten sevgi kardeşlik duygularıyla yurtta sulh cihanda sulh arzu inancı içinde huzurlu bir hayat talebine hakları bulunduğu karariyla anlaşılmak sözüne ruhuna yönde saygı mutlak sadakatle yorumlanıp uygulanmak üzere türk tarafindan demokrasiye aşık türk evlatlarının vatan millet sevgisine emanet tevdi olunur
